Title,Artist,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity
Mia & Sebastian’s Theme,1Vk4yRsz0iBzDiZEoFMQyv,0.976,0.476,0.192,0.928,0.928,-15.753,0.064,0.114,116.542,63
A Lovely Night,4r9hiElqKWMPT4Z3vN2exq,0.299,0.364,0.478,0.0015,0.0015,-8.645,0.0473,0.493,134.551,61
Herman’s Habit,4f6PUDRYJI51UrZy0jDAxD,0.0634,0.588,0.593,0.889,0.889,-9.448,0.052,0.668,123.678,54
City Of Stars,5BMwpS4iYKR30kq9U9beaT,0.954,0.585,0.0809,0.0233,0.0233,-19.346,0.0523,0.204,98.379,62
Planetarium,70RecAVg5QudOXfJs64sM5,0.92,0.248,0.142,0.733,0.733,-15.443,0.0379,0.0439,128.841,56
Summer Montage / Madeline,4S3DXtdTdgOIezKgu8DR0M,0.113,0.596,0.502,0.797,0.797,-6.783,0.0277,0.653,107.719,54
"City Of Stars - From ""La La Land"" Soundtrack",6XQHlsNu6so4PdglFkJQRJ,0.899,0.492,0.116,1.93e-06,1.93e-06,-15.15,0.0379,0.434,111.787,65
Start A Fire,7cyKrN1y4q59bc1gJX3QEG,0.0652,0.532,0.832,0.0,0.0,-6.047,0.0535,0.314,101.989,58
Engagement Party,2bonbKENtFAQQh8U4UEAu5,0.991,0.398,0.0662,0.909,0.909,-22.609,0.0401,0.326,80.364,57
Audition (The Fools Who Dream),6j0wBBAP3hMe4t1Ymj7GIe,0.756,0.344,0.157,0.0,0.0,-11.773,0.0457,0.313,57.86,58
Epilogue,762K1h8yVV5IgAVuEMpqfZ,0.661,0.408,0.27,0.829,0.829,-11.568,0.0438,0.14,127.15,58
The End,7gXjNlZlfP1GXRH1WvyuE2,0.923,0.176,0.0465,0.992,0.992,-14.545,0.0401,0.216,89.818,52
City Of Stars (Humming),3gbwtdRrtD05lz08DTxfFt,0.975,0.564,0.0136,0.0168,0.0168,-24.79,0.0349,0.397,93.205,56
Cosmos Main Title,0ULyPCxoU9yrQvbhAra9IP,0.87,0.114,0.056,0.158,0.158,-21.1,0.0406,0.0387,75.221,29
