Title,Artist,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity
Bills,7rlCeTnjn0plPZkVAcctPZ,0.274,0.699,0.747,0.0,0.0,-3.453,0.0964,0.683,126.001,61
Unwritten,1D1nixOVWOxvNfWi0UD7VX,0.00577,0.706,0.801,0.0,0.0,-6.333,0.0399,0.63,100.013,76
Soak Up The Sun,215JYyyUnrJ98NK3KEwu6d,0.0398,0.717,0.733,0.0,0.0,-4.985,0.0427,0.713,119.996,58
Die Young,7EQGXaVSyEDsCWKmUcfpLk,0.00498,0.711,0.7,0.000125,0.000125,-4.805,0.046,0.801,128.001,76
I Kissed A Girl,005lwxGU1tms6HGELIcUv9,0.00223,0.6990000000000001,0.76,0.0,0.132,-3.173,0.0677,0.696,129.996,68
Paper Rings,4y5bvROuBDPr5fuwXbIBZR,0.0129,0.811,0.719,1.36e-05,1.36e-05,-6.553,0.0497,0.865,103.979,71
Don't Stop - 2004 Remaster,4bEb3KE4mSKlTFjtWJQBqO,0.0393,0.671,0.71,1.12e-05,1.12e-05,-7.724,0.0356,0.834,118.745,67
Act My Age,4bqIFmnVAsndYWuXxAwQet,0.00287,0.495,0.883,2.26e-05,2.26e-05,-4.722,0.0402,0.642,135.899,66
What A Man Gotta Do,4wNIkl5XGiAACjFBlDWuSd,0.00839,0.852,0.698,1.03e-06,1.03e-06,-7.206,0.0629,0.324,113.039,82
Rasputin,5lWSa1rmuSL6OBPOnkAqoa,0.463,0.691,0.752,0.00103,0.00103,-11.47,0.0455,0.97,126.005,66
I Like To Move It,4bAFo6r2ODMDoqM5YHV2gM,0.428,0.842,0.791,0.0,0.0,-5.277,0.0437,0.95,126.962,66
Clumsy,7tawDKBYV9059X92D6dr7R,0.191,0.731,0.563,0.00042,0.00042,-4.046,0.131,0.452,184.009,56
Love and Memories,7n9GxM3guijiK2isLfUgJt,0.00012,0.652,0.707,2.64e-06,2.64e-06,-4.552,0.0297,0.655,121.998,53
Cyber Sex,1ghvzmzpx2nnrbx7wtpMgo,0.318,0.917,0.657,3.62e-06,3.62e-06,-5.716,0.0921,0.818,131.03,73
Say So,3Dv1eDb0MEgF93GpLXlucZ,0.256,0.787,0.673,3.57e-06,3.57e-06,-4.577,0.158,0.786,110.962,85
Killing In The Name,59WN2psjkt1tyaxjspN8fp,0.0266,0.466,0.833,0.0,0.0327,-4.215,0.304,0.6609999999999999,88.785,78
One (Remastered),0LAcM6I7ijW4VVW0aytl1t,0.000668,0.438,0.687,0.0801,0.0801,-9.15,0.0619,0.426,103.01,67
Paranoid - 2012 - Remaster,1Y373MqadDRtclJNdnUXVc,4.52e-05,0.412,0.658,0.000774,0.000774,-12.051,0.0708,0.454,163.071,68
Bennie And The Jets - Remastered 2014,0dBatXn1vVUl0jLgXRClwD,0.259,0.665,0.673,7.62e-06,7.62e-06,-7.95,0.0493,0.779,132.642,60
Goodbye Yellow Brick Road - Remastered 2014,6Rvlwah55rEmg1ufhBz022,0.446,0.559,0.473,0.00141,0.00141,-7.712,0.0279,0.397,121.227,58
99 Luftballons,4ZhPLoMzZwewHLLjV1J15c,0.103,0.575,0.555,1.3e-06,1.3e-06,-7.495,0.0453,0.504,95.361,73
Hush,4aU82r5G2KTUh3HmPHCbM1,0.00533,0.577,0.664,0.111,0.111,-9.153,0.0461,0.164,108.442,53
Hold Me Now,0BJU4rYOfj43xHw6gvTIwE,0.658,0.787,0.517,1.07e-05,1.07e-05,-12.794,0.0332,0.885,108.186,57
Undone - The Sweater Song,5WhtlIoxoZrMmuaWWEQhwV,0.00114,0.457,0.618,0.00257,0.00257,-6.682,0.0296,0.579,80.184,63
CAN'T GET OVER YOU (feat. Clams Casino),39oeKRgsLeynDIbWuXyA47,0.684,0.9,0.316,0.0771,0.0771,-8.797,0.332,0.844,129.914,73
September,7Cuk8jsPPoNYQWXK9XRFvG,0.165,0.694,0.831,0.000892,0.000892,-7.288,0.0301,0.98,125.901,71
Take The Power Back,25CbtOzU8Pn17SAaXFjIR3,0.0728,0.62,0.912,7.15e-05,7.15e-05,-4.011,0.221,0.291,106.236,60
Come Fly With Me - Remastered,4hHbeIIKO5Y5uLyIEbY9Gn,0.845,0.574,0.338,0.0,0.0,-11.376,0.042,0.493,67.008,70
My Way,76Zi40dd2HoTn3sehttJhY,0.689,0.28,0.388,0.0,0.0,-7.364,0.0314,0.223,148.033,0
"Theme From New York, New York",2uXn30sSSGCcCRvyuf5F3E,0.267,0.442,0.405,0.0,0.0,-11.085,0.03,0.56,107.731,0
That's Life,4FmCUATNIarCQh72JYdvnm,0.55,0.56,0.434,0.0,0.0,-14.151,0.0729,0.664,112.803,72
I've Got You Under My Skin - Remastered 1998,3aEJMh1cXKEjgh52claxQp,0.452,0.585,0.247,8.85e-06,8.85e-06,-12.612,0.04,0.591,127.15,68
Witchcraft,3BTsv0FthgmDwyKlYShwJF,0.493,0.481,0.242,0.0,0.0,-11.81,0.0373,0.389,116.342,61
The Lady Is A Tramp - Remastered,4Z4eU8yoBtBGIQPQrhCFr2,0.515,0.551,0.144,0.0,0.0,-13.883,0.0392,0.648,128.122,62
You Make Me Feel So Young - Remastered 1998,2WaYW84yWij5NSCpgSeU2R,0.383,0.577,0.306,0.0,0.0,-11.559,0.0427,0.568,125.166,66
Saturday Night (Is The Loneliest Night In The Week),7GLmfKOe5BfOXk7334DoKt,0.84,0.561,0.335,1.52e-06,1.52e-06,-11.093,0.0499,0.59,126.974,56
Learnin' The Blues,6rNOKdqa2lThuBIJOZXSVa,0.516,0.489,0.257,0.0,0.0,-11.115,0.0363,0.593,127.012,55
(Love Is) The Tender Trap,0UPLR6uenfxF1sonHICT8X,0.418,0.57,0.268,0.0,0.0,-11.449,0.0519,0.51,119.903,56
Nice Work If You Can Get It - Remastered,1mxW31WHnp0Rq1RQrhMPDj,0.476,0.518,0.32,0.0,0.0,-11.514,0.0366,0.592,132.512,55
Just In Time - 1998 Remaster,4atI4s4twgaBjdjfupti2e,0.21,0.586,0.322,0.0,0.0,-11.43,0.04,0.665,127.02,54
Nice 'n' Easy - Remastered,5Z7bkW3dsu8jLdv3dEGxly,0.772,0.536,0.148,0.0,0.0,-14.903,0.031,0.509,109.295,57
When You're Smiling (The Whole World Smiles With You) - 1998 Digital Remaster,4v79iygQ4tRn5GDwxDEN45,0.436,0.565,0.329,0.0,0.0,-12.222,0.0475,0.702,79.054,56
Luck Be A Lady,3MIEsuQuZQeLSfD2EnM2BS,0.736,0.358,0.393,0.0,0.0,-13.575,0.0434,0.46,151.63,0
My Kind Of Town,2eOBQx9Yi6LQST0yHJiFyJ,0.645,0.427,0.434,0.0,0.0,-7.429,0.0328,0.247,76.738,0
The Best Is Yet To Come,4xoZG3UuPDFEN8djm8mlwo,0.45,0.664,0.219,0.0,0.0,-13.746,0.0446,0.419,109.029,0
Ring-A-Ding-Ding,3mYKVGjd2OYEOdL3j8PZ5Q,0.614,0.576,0.321,0.0,0.0,-11.602,0.0938,0.664,159.226,55
Beyond the Sea,3KzgdYUlqV6TOG7JCmx2Wg,0.723,0.521,0.516,0.0,0.0,-7.456,0.0369,0.569,136.483,69
That's Amore,4I4aQGNJ2HufloNtB65nxR,0.782,0.471,0.146,0.0,0.0,-13.6,0.0309,0.595,78.554,61
Can't Take My Eyes off You,0bfvHnWWOeU1U5XeKyVLbW,0.508,0.581,0.78,1.07e-05,1.07e-05,-7.053,0.0567,0.561,123.711,68
Strangers In The Night,74VR3AkGPhbYXnxcOYa16x,0.592,0.259,0.473,0.0,0.0,-8.275,0.0295,0.539,90.348,69
Summer Wind,2cI7j96n1rfv4RNKuri4or,0.369,0.437,0.363,0.0,0.0,-9.187,0.0283,0.52,87.333,55
Love And Marriage,2kKvwBX4Qsn1CpbqjtNyad,0.858,0.711,0.228,0.0,0.0,-10.564,0.0319,0.633,110.944,52
Chicago - Remastered,6uayMGc7bnH9ZPk46APSS3,0.607,0.512,0.457,0.0,0.0,-10.053,0.074,0.793,147.588,45
Ain't That A Kick In The Head,7fQ3PYTYdu208fQ3JEm2U7,0.604,0.586,0.253,0.0,0.0,-11.93,0.0538,0.718,108.168,62
You're Nobody 'Til Somebody Loves You - Remastered/1997,4WUcNkpoNSKoe5MUuyzrfC,0.776,0.503,0.182,0.0,0.0,-16.651,0.0323,0.652,63.684,60
Volare (Nel Blu Di Pinto Di Blu) - Remastered,5OkKOkdVTKFrYi6GWXkMzR,0.88,0.612,0.144,0.0,0.0,-12.204,0.0352,0.343,128.629,65
Pennies From Heaven,4tmy6FB76bR5eLmx0zO1mn,0.452,0.515,0.408,0.0,0.0,-11.96,0.194,0.915,185.767,59
Young At Heart - Remastered,6LQp4tzH97pYojnqo0lH59,0.766,0.268,0.248,0.0,0.0,-11.628,0.0351,0.408,85.54,48
Everybody Loves Somebody,5I9sHwLDX28tLtzVgKLtpr,0.854,0.366,0.391,0.0,0.0,-12.322,0.0425,0.461,119.182,63
In the Mood,1xsY8IFXUrxeet1Fcmk4oC,0.929,0.624,0.304,0.173,0.173,-14.496,0.0822,0.874,80.582,51
フライ・ミー・トゥ・ザ・ムーン,5oGkeyBmeGiaRnhvjAJnZw,0.643,0.576,0.534,0.868,0.868,-8.585,0.0482,0.427,75.713,0
Magic Moments (with Mitchell Ayres and His Orchestra & The Ray Charles Singers),7tRKgHo6gCKCVve8LWPLM8,0.926,0.7,0.251,3.26e-05,3.26e-05,-14.981,0.0479,0.701,104.147,43
Anything Goes,3Cq4BUlxDg4ulj7XnN2COP,0.589,0.504,0.6,0.0,0.0,-5.666,0.0787,0.763,154.623,54
Just In Time - Remastered/1998,5MHAl3WVEOYgEmA7RXIrSv,0.667,0.57,0.196,0.0,0.0,-14.374,0.0442,0.612,127.3,48
Buona Sera - Remastered,0jbrk06CS9siNsEcx6CgCD,0.748,0.539,0.37,0.0,0.0,-11.355,0.0566,0.846,95.248,41
The Lady is a Tramp,6ZsKRsnPsdZvXfqqE6bTPy,0.385,0.573,0.602,0.0,0.0,-5.643,0.0357,0.684,90.692,51
A Nightingale Sang In Berkeley Square - 2001 Digital Remaster,1W3aFw910o9YJNoL6KlIX6,0.56,0.56,0.286,0.0,0.0,-11.853,0.0412,0.498,116.032,44
Tu vuò fa' l'americano,7FxSvowCilPQxSxbKsU31E,0.748,0.798,0.518,0.0,0.0,-3.592,0.0874,0.891,91.337,0
Nel blu dipinto di blu,5fXQ9zEXJPz91DpdPY3gAm,0.973,0.395,0.108,6.51e-06,6.51e-06,-14.204,0.0553,0.455,61.577,0
Guarda che luna,2mQOfU9H2lryPnvcwsUtYo,0.844,0.508,0.545,0.0,0.0,-2.922,0.0287,0.552,111.404,0
Carina,20ivEKlBJhphaUw01ARJNm,0.476,0.518,0.464,0.0,0.0,-8.618,0.0313,0.767,133.769,0
When in Rome,1SiZmZOzqGlsWAP8iuCzoe,0.517,0.524,0.235,0.105,0.105,-16.639,0.0325,0.621,123.069,33
Tra Veglia E. Sonno,0cNzRZgpb5iCj2O8ot24cz,0.445,0.544,0.28,0.055,0.055,-12.953,0.033,0.686,140.245,0
Arrivederci Roma,7AmOo04j5d4fjxZUi1TNjy,0.768,0.433,0.292,0.43,0.43,-14.639,0.0363,0.389,126.296,0
'O Sole Mio,6RLXexKSx9p0ATjCD4pCxs,0.569,0.311,0.307,0.163,0.163,-14.271,0.0355,0.339,121.217,0
Torna A Surriento,4ONMckvws5Iw5ZGJUoT2X4,0.947,0.4,0.279,0.504,0.504,-13.487,0.031,0.381,89.819,0
Funiculi Funicula,6cGV483VJMnuO3CEX3fNh9,0.904,0.74,0.19,0.747,0.747,-15.231,0.0533,0.25,116.038,34
Maruzzella - Original Mix,54zH2VdV5Eaq2dtnb7yrrM,0.973,0.742,0.139,9.95e-05,9.95e-05,-16.005,0.0587,0.582,133.429,10
Scapricciatiello - Original Mix,4Y6fyLXU7LTp1lUllgcwAu,0.578,0.614,0.358,0.0,0.0,-11.061,0.042,0.672,91.053,15
Viale d'autunno,2MXtzdK1HtJUA3zeP38FxE,0.981,0.356,0.157,4.19e-06,4.19e-06,-13.084,0.0391,0.152,110.647,8
Sway (Quien Sera),4nbILrYODP667b3d66ZMzI,0.727,0.601,0.239,1.43e-06,1.43e-06,-12.175,0.0384,0.569,120.036,60
Everybody Loves Somebody,78VG6M1i7JQXBdygmWFwye,0.806,0.26,0.49,0.0,0.0,-9.121,0.0415,0.399,80.599,57
The Way You Look Tonight,0shGCs5AkhwJIgUb0SSz2B,0.855,0.589,0.369,0.0,0.0,-8.678,0.0321,0.529,132.954,58
I've Got The World On A String,4LfgeOiPsAjDgDYSgmntCU,0.809,0.569,0.372,0.0,0.0,-7.022,0.0515,0.5,123.411,54
Luigi,7vNvEpYHphxivQG384ZRfI,0.814,0.7,0.53,0.0,0.0,-9.731,0.192,0.961,124.279,32
Tarantella,5CVSC6Ehnko15JmOuGYFwA,0.835,0.743,0.38,0.872,0.872,-12.151,0.0481,0.583,115.619,42
Be My Lover,7FoUzKTSQp25oe32pY9z5p,0.00129,0.669,0.941,4.3e-06,4.3e-06,-5.765,0.0313,0.841,134.809,62
Don't Phunk With My Heart,4MtDnnAJ1AtWit10FRmZdW,0.00933,0.689,0.929,0.0,0.0,-2.76,0.0608,0.609,130.899,54
Sail,5xhQChGGhKLWqBqX4XhtYE,0.452,0.825,0.435,0.609,0.609,-9.582,0.0568,0.243,119.038,76
Just Did a Bad Thing,0Y08zhvCal5BZZNS0RqBFN,0.00261,0.754,0.526,0.466,0.466,-12.96,0.0435,0.716,117.051,51
Good as Hell,3Yh9lZcWyKrK9GjbhuS0hR,0.256,0.682,0.919,0.0,0.0,-3.18,0.0875,0.535,95.982,69
Lemon (feat. Drake) - Drake Remix,739vCwA3EpBSkk3uDsI2wB,0.000738,0.777,0.657,3.34e-06,3.34e-06,-6.434,0.237,0.245,189.992,62
Juice,0k664IuFwVP557Gnx7RhIl,0.00611,0.767,0.889,0.0,0.402,-2.988,0.0963,0.843,119.93,77
Boys,7AwT9QW1Fo3ZHYeyztXnQI,0.00319,0.892,0.588,0.000162,0.000162,-4.287,0.11,0.753,120.042,48
Another One Bites The Dust - Remastered 2011,5vdp5UmvTsnMEMESIF2Ym7,0.112,0.933,0.528,0.312,0.312,-6.472,0.161,0.754,109.967,81
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,0.0533,0.878,0.619,0.0,0.0,-5.56,0.102,0.639,136.041,13
A Thousand Miles,4w1lzcaoZ1IC2K5TwjalRP,0.32299999999999995,0.56,0.825,0.0,0.161,-3.862,0.0379,0.268,94.931,76
A-Punk,5dKBaysNJtfpyNTRa5lqDb,0.0102,0.551,0.821,0.0438,0.0438,-4.489,0.0539,0.842,174.923,69
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",1iOHSOAU0big2ErNqB3Xs4,0.07,0.708,0.567,0.00105,0.00105,-15.539,0.0355,0.955,103.606,0
Mamma Mia,2TxCwUlqaOH3TIyJqGgR91,0.295,0.749,0.748,0.000443,0.000443,-7.011,0.0323,0.827,137.547,72
"(I've Had) The Time Of My Life - From ""Dirty Dancing"" Soundtrack",6W7ztLBiRzBN46ZaPAcQ0F,0.0404,0.697,0.669,0.00897,0.00897,-12.723,0.0406,0.486,108.506,65
Tequila,7Il2yWQmsqKgSkLQvHTPUI,0.0292,0.474,0.594,0.0,0.0,-5.756,0.0289,0.503,86.131,70
Down Under,46RVKt5Edm1zl0rXhPJZxz,0.0485,0.746,0.79,0.0261,0.0261,-4.7,0.0257,0.891,107.231,73
"Greased Lightnin' - From ""Grease Live!"" Music From The Television Event",5M4wwYVkuBAVAwrpj1APdM,0.00579,0.528,0.874,5.86e-06,5.86e-06,-4.591,0.183,0.951,160.008,38
Smack A Bitch,1nrsFfACPG4Hnw5AuOpCND,0.0055,0.703,0.7,0.0,0.0,-2.417,0.221,0.34,169.861,72
You're The One That I Want - From “Grease”,2g4tW3zYrT1GC3NwwkkvnS,0.281,0.758,0.612,0.00288,0.00288,-11.403,0.0598,0.822,106.945,38
You Belong With Me,3GCL1PydwsLodcpv0Ll1ch,0.162,0.687,0.783,1.35e-05,1.35e-05,-4.44,0.0386,0.443,129.964,69
7 Things - Single Version,5ecZWU5uQOiCVSnPxBZNmT,0.0232,0.59,0.903,0.0,0.0,-4.478,0.0363,0.542,107.023,64
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,0.075,0.696,0.817,0.0,0.0,-3.862,0.109,0.782,98.064,77
Picture To Burn,32mVHdy0bi1XKgr0ajsBlG,0.17300000000000001,0.6579999999999999,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,62
Last Christmas,2FRnf9qhLbvw8fu4IBXx78,0.189,0.735,0.478,2.48e-06,2.48e-06,-12.472,0.0293,0.947,107.682,76
Stacy's Mom,27L8sESb3KR79asDUBu8nW,0.00207,0.774,0.75,1.7800000000000002e-05,0.0808,-4.927,0.0412,0.927,118.015,74
Bound 2,3sNVsP50132BTNlImLx70i,0.145,0.367,0.665,0.0,0.0,-2.821,0.0465,0.31,148.913,72
Torn,3APayTEWiUl9Ssep4BOXR2,0.0746,0.559,0.928,5.56e-05,5.56e-05,-3.04,0.0355,0.599,96.315,70
Pocketful of Sunshine,1uigwk5hNV84zRd5YQQRTk,0.191,0.721,0.88,0.0,0.0,-3.896,0.0454,0.655,110.021,63
Wannabe,1Je1IMUlBXcx1Fz0WE7oPT,0.10099999999999999,0.768,0.8640000000000001,0.0,0.162,-6.145,0.0324,0.8909999999999999,110.008,79
Mean,5yEPktRqvIhko5QFF3aBhQ,0.452,0.568,0.761,0.0,0.0,-3.987,0.0459,0.789,163.974,62
Call Me Maybe,3TGRqZ0a2l1LRblBkJoaDx,0.0114,0.7829999999999999,0.58,2.28e-06,0.10800000000000001,-6.547999999999999,0.0408,0.66,120.021,69
Come On Eileen,0EMmVUYs9ZZRHtlADB88uz,0.648,0.45,0.658,3.14e-06,3.14e-06,-7.064,0.0472,0.781,106.799,0
Powerglide (feat. Juicy J) - From SR3MM,1BuZAIO8WZpavWVbbq3Lci,0.0168,0.713,0.831,0.0,0.0,-4.75,0.15,0.584,173.948,70
Gives You Hell,0pjjdauz55YnSJ8OsQKI3P,0.0159,0.718,0.691,0.0,0.0,-6.44,0.0387,0.552,100.008,0
Miss Independent,2CZi8d774dBB0wiuWMIpr8,0.0861,0.655,0.623,0.000346,0.000346,-6.302,0.116,0.615,175.973,57
The Tide Is High - Radio Mix,1QhSB9L9M5eZQhW4RNOhXK,0.0209,0.783,0.649,0.00482,0.00482,-4.127,0.0322,0.665,103.997,64
Sk8er Boi,4omisSlTk6Dsq2iQD7MA07,6.79e-05,0.487,0.9,0.0,0.0,-4.417,0.0482,0.484,149.937,0
Say My Name,7H6ev70Weq6DdpZyyTmUXk,0.273,0.713,0.6779999999999999,0.0,0.149,-3.525,0.102,0.7340000000000001,138.009,76
Live While We're Young,6aGjEZ7kq3YXgD0EDt80O5,0.0629,0.658,0.837,0.0,0.0,-2.063,0.0543,0.936,126.015,34
Mother Of Pearl - Remastered,7Hvs1HWwtwoPnw2vkNzY6t,0.0307,0.514,0.893,0.00111,0.00111,-6.98,0.0433,0.643,101.243,38
Rock Me,7MbII8jWqFiTFYU3MPYEfW,0.0354,0.503,0.917,0.0,0.0,-3.595,0.055,0.79,168.018,27
Down,6ND2f7SUjYNpLqL0WPcNT1,0.0108,0.654,0.684,0.0,0.0,-4.509,0.032,0.7,66.001,0
Bye Bye Bye,62bOmKYxYg7dhrC6gH9vFn,0.031,0.61,0.9259999999999999,0.0012,0.0821,-4.843,0.0479,0.861,172.638,71
TiK ToK,0HPD5WQqrq7wPWR7P7Dw1i,0.0991,0.755,0.8370000000000001,0.0,0.289,-2.718,0.142,0.7140000000000001,120.02799999999999,80
Toxic,717TY4sfgKQm4kFbYQIzgo,0.0279,0.774,0.847,0.0183,0.0183,-3.925,0.121,0.923,143.011,58
Your Love Is My Drug,6vc2Jq2vaGu8z326kSrw92,0.00681,0.826,0.612,0.0,0.0,-3.891,0.0982,0.756,120.057,68
This One's for the Girls,01CnYyPXMFRzOFVQBU8WMb,0.0626,0.613,0.801,1.15e-05,1.15e-05,-4.431,0.0354,0.609,126.966,57
Suddenly I See,5p9XWUdvbUzmPCukOmwoU3,0.225,0.587,0.767,0.0,0.0,-5.713,0.0449,0.664,100.38,69
Airplanes (feat. Hayley Williams),6lV2MSQmRIkycDScNtrBXO,0.11,0.66,0.867,0.0,0.0368,-4.285,0.11599999999999999,0.377,93.03299999999999,75
Kiss Me Thru The Phone,0nDqJMKcSTtYlGK6OQ3sLC,0.0158,0.757,0.721,0.0,0.0,-3.757,0.0986,0.807,149.984,0
Dancing On My Own - Radio Edit,7g13jf3zqlP5S68Voo5v9m,0.00202,0.573,0.926,0.0117,0.0117,-6.045,0.0342,0.219,117.047,60
Don't Stop Me Now - Remastered 2011,5T8EDUDqKcs6OSOwEsfqG7,0.0475,0.559,0.868,0.000176,0.000176,-5.276,0.17,0.609,156.295,81
Replay,4E5P1XyAFtrjpiIxkydly4,0.173,0.706,0.751,0.0,0.0,-6.323,0.0708,0.195,91.031,77
Cotton Eyed Joe,6q08ixr5SZRfcELAb4tTRP,0.000175,0.911,0.735,0.000999,0.000999,-6.38,0.0569,0.935,132.573,48
No Scrubs,1KGi9sZVMeszgZOWivFpxs,0.0251,0.743,0.675,0.000717,0.0685,-4.2669999999999995,0.0953,0.59,92.90899999999999,78
Sk8er Boi,00Mb3DuaIH1kjrwOku9CGU,6.79e-05,0.487,0.9,0.0,0.0,-4.417,0.0482,0.484,149.937,75
"Love Is an Open Door - From ""Frozen""/Soundtrack Version",3IPnBzGRMg6BfViFxxa0Gq,0.262,0.737,0.637,0.0,0.0,-6.308,0.0735,0.537,100.033,70
Never There,7aKWgpecgLEqisWcXPElDl,0.0426,0.761,0.735,0.0838,0.0838,-8.171,0.043,0.592,125.815,60
Lithium,2YodwKJnbPyNKe8XXSE9V7,0.00174,0.678,0.656,0.0,0.0,-6.41,0.0381,0.485,123.207,68
Spirit in the Sky,1CnTAkLCWL8Uvsr1BDiX8F,0.0384,0.606,0.584,0.00592,0.00592,-8.042,0.0319,0.563,128.542,0
Cantaloupe Island - Live,5HuEHU71VWcyQI6KUsfkBK,0.292,0.565,0.662,0.0858,0.0858,-8.341,0.0342,0.437,122.756,33
Freedom,48lQegoLqGAzaRLnMwK0mO,0.000893,0.503,0.678,0.0134,0.0134,-5.552,0.103,0.501,112.277,52
Fade Away,4QRWA5UqYU1st9aO0UfxOj,0.27,0.709,0.787,0.00114,0.00114,-2.377,0.235,0.607,75.986,60
Indica Badu,0jqBo5RYn008f4ZY8kPewW,0.0402,0.742,0.72,0.000846,0.000846,-2.876,0.116,0.97,77.011,62
Angel of the Morning,3TrmqgX0Pcgzcuacu6MYWk,0.261,0.422,0.48,0.0149,0.0149,-4.744,0.0246,0.394,76.108,0
Hey Ya! - Radio Mix,3AszgPDZd9q0DpDFt4HFBy,0.0644,0.715,0.97,0.000156,0.000156,-2.206,0.0648,0.963,79.504,64
Santeria,6cJqlSO19vsfCsH1FeFI35,0.0223,0.673,0.772,1.23e-06,1.23e-06,-5.246,0.0427,0.585,90.356,0
Californication,34KTEhpPjq6IAgQg2yzJAL,0.0021,0.592,0.767,0.00165,0.00165,-2.788,0.027,0.328,96.483,61
Private Eyes,5HQ639Z3ms3hnZx0KfWnkp,0.409,0.85,0.938,0.000346,0.0582,-6.888999999999999,0.0415,0.84,120.82600000000001,64
Comfort Eagle,2qQCU22yQXKjhytKUBxa59,0.09,0.736,0.782,0.0,0.0,-6.171,0.0528,0.899,120.987,53
This Is America,0b9oOr2ZgvyQu88wzixux9,0.117,0.854,0.463,0.0,0.0,-6.159,0.137,0.549,120.024,74
Come As You Are,4P5KoWXOxwuobLmHXLMobV,0.00016,0.5,0.8240000000000001,0.00161,0.0916,-5.846,0.0388,0.539,120.125,72
Wham Bam Shang-A-Lang,3qrEG6rQ9Qm72MNWeUKKiU,0.353,0.65,0.759,0.0,0.0,-4.932,0.0355,0.943,121.454,66
In The Air Tonight - 2015 Remastered,18AXbzPzBS8Y3AkgSxzJPb,0.551,0.446,0.239,4.1e-06,4.1e-06,-13.945,0.0316,0.298,189.507,77
Atmosphere - 2010 Remaster,5UPnBgnylUCjtAPtAH4tJY,0.227,0.615,0.386,0.523,0.523,-11.813,0.0315,0.442,120.032,43
Everybody Wants To Rule The World,4RvWPyQ5RL0ao9LPZeSouE,0.347,0.645,0.795,0.00389,0.00389,-12.095,0.0527,0.535,112.067,82
Every Breath You Take,1JSTJqkT5qHq8MDJnJbRE1,0.543,0.82,0.452,0.00294,0.00294,-9.796,0.0348,0.74,117.401,83
Take My Breath Away,50jEs9EZZgXJ1oDZVAv7Wp,0.188,0.478,0.609,0.0,0.0,-13.201,0.0275,0.579,96.149,59
Pictures of You - 2010 Remaster,1tuwC1Ob5vnYZhvg3zyzJg,0.00371,0.484,0.776,0.109,0.109,-6.48,0.0312,0.495,171.935,58
True - Single Edit,0CsM8VGDi38kusMv3pxyj1,0.459,0.742,0.533,0.148,0.148,-9.098,0.0288,0.391,97.395,72
Save a Prayer - 2009 Remaster,1ff8lsrJ2kuZuofMw81EQo,0.35,0.572,0.706,0.0,0.0,-8.707,0.0283,0.671,113.595,62
Love Will Tear Us Apart - 2010 Remaster,1r8oPEXqnhUVgkUkJNqEuF,0.000989,0.525,0.902,0.691,0.691,-8.662,0.0368,0.907,146.83,60
Bennie And The Jets - Remastered,1zf4wlu4A6iUunNuCNKp8H,0.247,0.665,0.675,6.45e-06,6.45e-06,-7.936,0.0522,0.774,132.615,45
All The Girls Love Alice - Remastered 2014,4gad1qhsqNL63n9OyCDsjL,0.0208,0.533,0.826,0.00188,0.00188,-9.246,0.058,0.531,88.934,43
I Guess That's Why They Call It The Blues - Remastered,7egbV3zR5ZtJ00kO4OdmFq,0.396,0.672,0.806,0.000146,0.000146,-4.719,0.0274,0.611,120.785,46
Border Song,4gpxT82T8ZzRWknBH30Zey,0.763,0.434,0.297,2.73e-06,2.73e-06,-11.042,0.0287,0.289,130.388,47
Tiny Dancer - Remastered,22yKImOSYkUpbnBGIUdtca,0.429,0.412,0.437,0.000132,0.000132,-10.65,0.027,0.241,145.521,51
Philadelphia Freedom - Remastered,6sYZrqTUr5py0ZxLdP3q1t,0.0913,0.7,0.844,5.35e-06,5.35e-06,-5.58,0.0346,0.761,126.081,38
Indian Sunset,3gAeszu600Qs0plQegthLX,0.793,0.403,0.282,3.8e-05,3.8e-05,-13.708,0.0422,0.315,140.003,40
Take Me To The Pilot,1CPmTJHyeVRWsc6Va27fpQ,0.393,0.403,0.525,0.0,0.0,-9.287,0.0941,0.58,82.859,53
Sorry Seems To Be The Hardest Word,6XfxmT5QNCXvpZA6PKfWVL,0.828,0.371,0.22,1.23e-06,1.23e-06,-12.797,0.0324,0.112,118.464,60
Someone Saved My Life Tonight - Remastered,1mpiCCPEs2ksd2LRVFvAjC,0.374,0.476,0.439,8.14e-06,8.14e-06,-8.303,0.0274,0.149,129.932,37
Levon,0aJfFLl0grcQS7euiIp0ni,0.15,0.305,0.594,0.000303,0.000303,-10.499,0.0447,0.426,145.77,55
Candle In The Wind - Remastered,2bjh0ZOw1w7QT1ohJ5JYA2,0.189,0.602,0.53,2.69e-05,2.69e-05,-9.665,0.029,0.526,124.512,45
Funeral For A Friend / Love Lies Bleeding - Remastered 2014,5NERbS7923kF471NLKDZkB,0.0221,0.403,0.764,0.17,0.17,-8.554,0.0451,0.196,138.725,53
