Title,ID,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity,Predict,Karaokability
Helen Wheels,1hl9popG7MdtHyGUEwcspD,0.00625,0.401,0.8240000000000001,0.00278,0.00278,-5.421,0.0356,0.659,146.125,32,1,0.8366279293823846
Introvert (feat. Joji),3qbqWUDl9j09PeBaQ6CZgr,0.14,0.836,0.6859999999999999,0.00231,0.00231,-4.673,0.0413,0.632,110.029,61,1,0.8359327580441243
Fireflies,3DamFFqW32WihKkTVlwTYQ,0.0275,0.512,0.662,0.0,0.0,-6.797000000000001,0.0439,0.47200000000000003,180.114,79,1,0.8355380817557375
Where are you?,6MSfAJiEQjJvia4dsWhO93,0.336,0.48100000000000004,0.706,0.0,0.0,-3.89,0.0524,0.623,169.81400000000002,42,1,0.8353981471943722
Picture To Burn,32mVHdy0bi1XKgr0ajsBlG,0.173,0.6579999999999999,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,62,1,0.8350876502797716
Ghost Town,7vgTNTaEz3CsBZ1N4YQalM,0.0969,0.573,0.545,0.0,0.329,-4.247,0.0288,0.297,83.37799999999999,75,1,0.8349543907023502
Time to Pretend,4iG2gAwKXsOcijVaVXzRPW,8.740000000000001e-05,0.43799999999999994,0.94,0.0777,0.0777,-3.2489999999999997,0.0452,0.42100000000000004,100.99,72,1,0.8345310897663508
Father And Son,19slC7k8bsPOAKDjHYLU2W,0.589,0.499,0.33,4.210000000000001e-05,4.210000000000001e-05,-11.467,0.0348,0.395,135.993,74,1,0.8342004843255585
Mr. Brightside,7oK9VyNzrYvRFo7nQEYkWN,0.00101,0.35600000000000004,0.924,0.0,0.0953,-3.74,0.0808,0.232,148.017,75,1,0.8340745725130613
Forever Young,4S1VYqwfkLit9mKVY3MXoo,0.42,0.489,0.483,0.0028,0.0028,-9.466000000000001,0.0275,0.33299999999999996,136.822,73,1,0.8340195837544191
Un-Break My Heart,5Ihd9HrPvOADyVoonH9ZjB,0.413,0.625,0.426,0.0,0.116,-8.392000000000001,0.0271,0.112,110.018,68,1,0.8339469194113016
Something from Nothing,6REiraH7Pe3akd0mkFA4l9,0.000124,0.228,0.856,5.660000000000001e-05,5.660000000000001e-05,-5.296,0.0541,0.42700000000000005,186.96900000000002,59,1,0.8338936587662932
listen before i go,0tMSssfxAL2oV8Vri0mFHE,0.935,0.319,0.0561,0.00384,0.388,-23.023000000000003,0.045,0.08199999999999999,79.764,79,1,0.8336448935598687
Billy Is a Runaway,4Vm0QSoEZCeg2Onk6Fxh5v,0.17,0.556,0.878,0.00629,0.00629,-8.111,0.0833,0.904,161.445,16,1,0.8333552570292732
Hollaback Girl,0LzrhCZFXW94Y8nwtTuRlw,0.35,0.926,0.916,6.17e-06,0.0234,-2.221,0.0929,0.904,110.007,68,1,0.8331517074495306
Happy Anywhere (feat. Gwen Stefani),2DwbFtfC6sXBiVDPmju8Dd,0.1,0.5379999999999999,0.745,0.0,0.063,-5.774,0.0387,0.669,165.755,75,1,0.8330005671300752
I'm Gonna Love You Just A Little More Baby,1QR3Wcba5NBidmxEE8DW3w,0.0111,0.606,0.486,0.00145,0.00145,-13.552999999999999,0.040999999999999995,0.809,87.56700000000001,58,1,0.8329305534836801
Born to Run,6hTcuIQa0sxrrByu9wTD7s,0.0050100000000000006,0.27,0.944,2.05e-05,0.116,-4.199,0.0975,0.606,146.347,72,1,0.8328845846703306
Shoot to Thrill,0C80GCp0mMuBzLf3EAXqxv,0.000239,0.457,0.904,0.0879,0.0879,-5.303,0.0747,0.48,141.03799999999998,73,1,0.8326535137970915
Dancing Queen,4NtUY5IGzHCaqfZemmAu56,0.382,0.539,0.884,0.0016600000000000002,0.0016600000000000002,-6.53,0.0403,0.752,100.81200000000001,60,1,0.8326320069132945
Drunk in Love (feat. Jay-Z),6jG2YzhxptolDzLHTGLt7S,0.00969,0.589,0.621,0.00104,0.181,-6.902,0.0468,0.401,140.03,71,1,0.832608479414401
I've Got You Babe,73xGJdrGW5KXcGI1pf41lp,0.262,0.511,0.845,0.0,0.187,-4.853,0.0489,0.797,172.865,45,1,0.8325133744178057
Girl U Want - 2009 Remaster,0rNXiNb8IN78GL6cx9VsP7,0.125,0.735,0.569,7.67e-06,7.67e-06,-7.526,0.0596,0.826,172.488,47,1,0.8322151480268504
Moving on Up,6vGW3d8X48CBaLdU0PQbey,0.0499,0.899,0.857,0.0299,0.112,-6.127999999999999,0.037000000000000005,0.961,125.073,63,1,0.8320602874938394
Gimme! Gimme! Gimme! (A Man After Midnight),2PzCOP5Aj9SABiBgNEZ52G,0.0163,0.747,0.4920000000000001,0.00897,0.224,-9.616,0.04,0.5329999999999999,119.531,65,1,0.8312989363416824
A BOY IS A GUN*,1nXZnTALNXiPlvXotqHm66,0.575,0.41700000000000004,0.6890000000000001,0.0,0.0,-8.302,0.17800000000000002,0.505,79.568,68,1,0.8312981363850607
Cars,6HZ67VImxqr8aMBEEhblzf,0.0114,0.546,0.578,6.54e-05,6.54e-05,-8.745,0.0406,0.8190000000000001,128.037,63,1,0.8312272777827635
"Greased Lightnin' - From ""Grease Live!"" Music From The Television Event",5M4wwYVkuBAVAwrpj1APdM,0.00579,0.528,0.8740000000000001,5.86e-06,5.86e-06,-4.591,0.183,0.951,160.00799999999998,38,1,0.8311570743014701
My Own Worst Enemy,33iv3wnGMrrDugd7GBso1z,0.00129,0.494,0.946,0.0,0.398,-2.757,0.0637,0.741,103.408,71,1,0.830846994596039
California Love - Original Version,3djNBlI7xOggg7pnsOLaNm,0.0292,0.7609999999999999,0.847,2.26e-06,0.39,-3.068,0.0417,0.765,91.519,65,1,0.8307895208105122
Say So - Japanese Version,6HibhGOvkFN74gWRTr6w2i,0.775,0.732,0.6679999999999999,5.49e-06,5.49e-06,-6.768,0.0443,0.705,111.00299999999999,66,1,0.8307543106258289
Rasputin,5jkFvD4UJrmdoezzT1FRoP,0.289,0.639,0.893,0.008159999999999999,0.008159999999999999,-6.5089999999999995,0.036000000000000004,0.966,126.14299999999999,64,1,0.8306655251220958
Schuyler Defeated,05bhmaAD1urZnQMWNd6p3S,0.23600000000000002,0.745,0.597,0.0,0.0,-10.422,0.257,0.8420000000000001,102.10799999999999,65,1,0.8305155628765467
Good Vibrations - Remastered,5t9KYe0Fhd5cW6UYT4qP8f,0.326,0.396,0.473,0.000124,0.000124,-7.67,0.0345,0.385,133.44899999999998,70,1,0.8304710691828224
Perfect,5jbDih9bLGmI8ycUKkN5XA,0.00948,0.769,0.8290000000000001,6.65e-05,6.65e-05,-5.228,0.0661,0.648,159.94299999999998,73,1,0.8304411524480121
Telephone Line,3SPcBPzvbmWLl8NU5efx4W,0.7709999999999999,0.467,0.36700000000000005,2.27e-05,2.27e-05,-8.164,0.0298,0.205,70.85600000000001,62,1,0.8302982706576719
Killer Queen - Remastered 2011,7GqWnsKhMtEW0nzki5o0d8,0.379,0.535,0.65,0.0,0.0,-6.327999999999999,0.0554,0.61,117.18799999999999,65,1,0.8301456536597253
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",6CQaVuICm1WVXyy3SZ5jEI,0.736,0.757,0.3670000000000001,0.0,0.157,-5.759,0.0354,0.6809999999999999,96.008,65,1,0.8299157732819898
I Just Wasn't Made For These Times - Remastered,4CuO8TINNqM3D7aUdNQ3zG,0.513,0.22,0.581,0.0,0.0,-5.877000000000001,0.0374,0.445,186.42700000000002,46,1,0.8296459170588933
Zombie,2IZZqH4K02UIYg5EohpNHF,0.0154,0.307,0.635,0.00483,0.366,-8.957,0.0339,0.304,166.97299999999996,80,1,0.8295915119949743
Good as Hell,3Yh9lZcWyKrK9GjbhuS0hR,0.256,0.682,0.919,0.0,0.0,-3.18,0.0875,0.535,95.98200000000001,69,1,0.8295390270799781
Juicy,7f5trao56t7sB7f14QDTmp,0.102,0.7859999999999999,0.652,0.0,0.0697,-2.607,0.0669,0.483,170.03099999999995,74,1,0.8292254117026752
Despacito,6habFhsOp2NvshLv26DqMb,0.198,0.655,0.797,0.0,0.067,-4.787,0.153,0.8390000000000001,177.928,78,1,0.8289366663913988
Act My Age,4bqIFmnVAsndYWuXxAwQet,0.0028699999999999997,0.495,0.883,2.26e-05,2.26e-05,-4.7219999999999995,0.0402,0.642,135.899,66,1,0.8289182304116326
"It's Been a Long, Long Time",52XDumqYDUXX16R7FM5fpV,0.938,0.271,0.21899999999999997,0.00086,0.00086,-9.767000000000001,0.031,0.375,74.68,59,1,0.8286446140694418
Love Shack,4W4wYHtsrgDiivRASVOINL,0.0325,0.715,0.8170000000000001,1.61e-06,0.851,-6.227,0.0532,0.871,133.858,70,1,0.8285900295181178
Poison,5NijSs5dAwaIybq1GaRTIe,0.711,0.6890000000000001,0.394,0.000905,0.0859,-10.102,0.065,0.382,117.489,71,1,0.8285332639554726
