Title,ID,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity
Wouldn't Leave,1nGoy0cEj0extAwXYNYTWd,0.495,0.556,0.432,0.0,0.308,-8.551,0.545,0.352,164.235,61
No Mistakes,35KV2Nuib6jPMVN00O8iba,0.0393,0.643,0.646,0.0,0.109,-2.442,0.0629,0.35,80.174,60
Ghost Town,7vgTNTaEz3CsBZ1N4YQalM,0.0969,0.573,0.545,0.0,0.329,-4.247,0.0288,0.297,83.378,74
Violent Crimes,3s7MCdXyWmwjdcWh7GWXas,0.376,0.669,0.419,0.0,0.187,-6.724,0.522,0.0397,109.813,75
I Thought About Killing You,0yhxBvedRdGxsPZHJNI4VA,0.867,0.752,0.396,0.0,0.0486,-7.932,0.411,0.417,116.016,61
All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,0.0605,0.698,0.633,0.000194,0.0926,-4.946,0.0597,0.552,96.924,79
X (with 2 Chainz & Saudi),4LmAnpjlhWTahvRkYR8xJa,0.0201,0.768,0.471,0.0,0.268,-8.406,0.259,0.405,131.023,68
The Ways (with Swae Lee),5jyyPsIGM2yqkZN9R3TmvN,0.0626,0.727,0.72,1.21e-06,0.176,-5.856,0.0488,0.589,140.08,64
Opps (with Yugen Blakrok),7bUcBztfGqO7cSI2gMZeCI,0.152,0.706,0.775,3.32e-05,0.416,-6.819,0.335,0.847,127.929,58
I Am What I Am (feat. Fivio Foreign),6FKbgWZ7KgpSk7tvFP7eEc,0.0746,0.798,0.673,0.0,0.126,-5.628,0.289,0.405,141.12,68
Paramedic!,2tPcTFiQF9MbVUyjZ3zDhA,0.177,0.856,0.652,0.0,0.193,-5.324,0.143,0.471,97.017,65
Bloody Waters (with Anderson .Paak & James Blake),4KXwFI9pgJLpUIAc9oSL8j,0.185,0.507,0.606,0.0,0.174,-8.758,0.452,0.202,180.607,60
"King's Dead (with Kendrick Lamar, Future & James Blake)",51rXHuKN8Loc4sUlKPODgH,0.000813,0.645,0.705,0.0,0.128,-5.008,0.299,0.376,137.133,71
Redemption Interlude,4FpfU1O7WCLBnmwu5XAFk4,0.662,0.549,0.449,4.88e-05,0.0866,-13.645,0.104,0.223,121.164,52
Redemption (with Babes Wodumo),76iVOVsliCHlWqKuDnCfhE,0.139,0.778,0.765,0.0274,0.123,-7.175,0.128,0.642,125.062,56
Seasons (with Sjava & Reason),35cOyocq8Gb6UcT0NWeTwn,0.28,0.629,0.554,0.0,0.158,-6.759,0.326,0.308,126.694,56
Big Shot (with Travis Scott),5cXg9IQS34FzLVdHhp7hu7,0.00759,0.855,0.478,0.0,0.101,-9.116,0.193,0.284,130.018,67
Pray For Me (with Kendrick Lamar),77UjLW8j5UAGAGVGhR5oUK,0.0762,0.735,0.677,2.17e-05,0.111,-4.979,0.093,0.188,100.584,75
Will He,7wvwXi9Z66dcH5t202vVkN,0.836,0.618,0.217,0.000163,0.538,-15.372,0.0515,0.0872,116.014,72
"Pills & Automobiles (feat. Yo Gotti, A Boogie Wit Da Hoodie & Kodak Black)",5gx2E5aIXMRBellPZW1up5,0.119,0.82,0.696,0.0,0.232,-4.918,0.182,0.617,144.981,67
Demons,3LlAyCYU26dvFZBDUIMb7a,0.19,0.505,0.71,0.00025,0.329,-3.015,0.0321,0.428,89.938,73
Window,3hARuUtzTdUuWH1KiLJlSf,0.436,0.714,0.483,2.3e-05,0.28,-9.378,0.195,0.67,91.025,71
Bitter Fuck,3LKgZUoFX1c4uT1CPDoOhz,0.426,0.803,0.338,0.00503,0.117,-9.397,0.0415,0.0723,119.989,60
worldstar money (interlude),435yU2MvEGfDdmbH0noWZ0,0.964,0.577,0.387,0.705,0.208,-8.607,0.274,0.459,146.565,75
Plastic Taste,4tAroWdVxOsx5teIaZqEHm,0.987,0.33,0.16,0.93,0.21,-11.647,0.0332,0.122,131.222,61
I Don't Wanna Waste My Time,72Qo3U5apeuv91j9BEqJBM,0.761,0.403,0.234,0.0618,0.123,-17.865,0.0531,0.13,144.226,65
Will He (Medasin Remix),4bOr88BuLILM22g8FKQWrG,0.545,0.686,0.539,0.000564,0.14,-9.408,0.092,0.36,123.929,53
Will He (Ryan Hemsworth Remix),1n8KCrv2wq43ysd6HQCpV6,0.826,0.532,0.385,0.00699,0.118,-10.371,0.0392,0.327,126.61,50
Demons (Lapalux Remix),7dbnPDB4gAJVTduLcixNMT,0.672,0.552,0.286,9.43e-05,0.122,-9.519,0.038,0.201,119.382,47
Demons (Lunice Remix),3MTef0fYROWYMP8b3ZAepO,0.101,0.834,0.966,0.843,0.14,-3.943,0.0425,0.882,119.99,45
Window (Actress Remix),2zpgZcT2Ec1zFCSMwv0UR1,0.136,0.808,0.552,0.915,0.203,-13.673,0.035,0.61,138.992,44
Pills (HWLS Remix),688ju6XT9P1vKt3sNEzuGS,0.805,0.366,0.666,0.662,0.184,-8.271,0.0379,0.0515,122.047,45
Bitter Fuck (salute remix),7DPl2FNuOhvPsNaqDehQ0c,0.751,0.523,0.623,0.436,0.341,-7.992,0.0719,0.375,132.985,46
I Don't Wanna Waste My Time (SwuM Remix),4H3kVzEBywafoCOq1DomD7,0.787,0.535,0.72,0.00339,0.103,-6.627,0.038,0.0759,118.94,48
Amen,7JcQlgYb0bewNr7autv7gm,0.448,0.604,0.789,0.0,0.152,-5.748,0.287,0.651,170.339,60
Occupied,7tCtApWNvLIIlplk3NieWx,0.441,0.819,0.823,0.000422,0.0676,-7.491,0.132,0.805,82.5,47
Attention (feat. Offset),16wWFYS9S4hKBk2Ofj3Ss6,0.0438,0.884,0.547,0.0,0.124,-7.492,0.387,0.425,158.019,54
Glow Like Dat,7MXcmkmyxEYAJf04cbqKoI,0.411,0.787,0.586,0.000311,0.118,-9.64,0.0695,0.581,140.036,58
Tresspass,3oYIm3GyXki3zEX6It90Wi,0.0431,0.823,0.798,0.013,0.404,-5.444,0.172,0.384,140.062,47
"Flightless Bird, American Mouth",1fEGtTZjrjJW8eUeewnNJR,0.827,0.369,0.403,0.0541,0.106,-7.996,0.0259,0.177,154.899,67
See Me Fall - Y2K Remix,5MLreTrtwv7fGyyAy0RyeB,0.301,0.625,0.829,0.0,0.107,-5.221,0.0976,0.131,109.976,70
Enemies (feat. DaBaby),0Xek5rqai2jcOWCYWJfVCF,0.0588,0.542,0.674,0.0,0.0955,-4.169,0.21,0.667,76.388,78
"Kitty Talk (feat. Quavo, Lil Wayne, & Jack Harlow) [Remix]",4n4yWZbhlyHrgFs9ztg21K,0.00203,0.95,0.603,2.58e-06,0.175,-5.083,0.12,0.312,99.019,57
Little Prince (feat. NIKI),3jKJnHixssQxdCShjpirKQ,0.166,0.909,0.414,2.49e-05,0.109,-7.337,0.0514,0.761,139.963,52
Chaos,7xtuwLeqUaRYJTS71Be1W3,0.000421,0.744,0.494,0.905,0.12,-6.142,0.0394,0.598,100.012,50
Arizona (feat. AUGUST 08),3q0UN40vV6mI7TT560Ry5l,0.695,0.651,0.526,0.0,0.386,-10.886,0.356,0.509,95.049,48
Beyond,1Omt5bfz1tZUCqd26HxbS0,0.229,0.58,0.687,0.0,0.109,-5.4,0.106,0.187,76.014,73
Doin' it Right (feat. Panda Bear),36c4JohayB9qd64eidQMBi,0.388,0.804,0.451,2.17e-05,0.0924,-8.207,0.0949,0.19,178.061,63
Contact (feat. Tyga),0WLhJ2NBuZHuoHY8pLVHJ0,0.00181,0.84,0.692,0.0,0.344,-5.399,0.0356,0.145,100.046,67
The Game of Love (feat. Michelle Branch) - Main / Radio Mix,41IShViF79gmulEkIHAjcb,0.0714,0.59,0.929,0.000153,0.0598,-3.236,0.0478,0.674,119.818,60
Within You Without You - Remastered 2009,3Umg8CDhO8dOSj7yBTInYb,0.339,0.352,0.479,0.000353,0.486,-9.965,0.0338,0.354,126.166,58
Touch (feat. Paul Williams),7oaEjLP2dTJLJsITbAxTOz,0.477,0.29,0.412,0.0839,0.079,-12.659,0.0458,0.12,90.539,57
Motherboard,79koEJRtKOOGJ0VSAF3FMk,0.512,0.548,0.707,0.922,0.105,-14.902,0.0352,0.284,103.009,54
"Main Title - From ""Star Wars: A New Hope""",5jpYOzRsoCaaX93OVf0vaj,0.513,0.197,0.422,0.555,0.284,-13.065,0.0423,0.0948,94.018,5
Imperial Attack,3KVsq9veMUESIb3ln7Rowv,0.888,0.168,0.181,0.888,0.0798,-15.593,0.0358,0.0377,81.695,41
"Princess Leia's Theme - From ""Star Wars: A New Hope""",698aWsN8hq95hskRJzi7wl,0.821,0.209,0.132,0.081,0.137,-16.799,0.0459,0.0343,103.57,3
The Desert and the Robot Auction,6I50fU69S2yz4yc96r55s2,0.817,0.271,0.0329,0.871,0.0775,-24.583,0.0372,0.054,118.569,37
ben's death and tie fighter attack ~ star wars lofi,3eMIS3nsVEMfgggObvWT3G,0.897,0.487,0.344,0.464,0.138,-9.382,0.0406,0.0579,80.239,46
The Little People Work,2FMeboz4OrxtJz49sJsg4d,0.896,0.449,0.0534,0.518,0.216,-24.646,0.0332,0.0584,115.118,34
rescue of the princess ~ star wars lofi,3jsWMdImQgiDP58WLrTdbO,0.949,0.75,0.5,0.837,0.26,-9.576,0.13,0.179,61.931,45
Inner City Blues (Make Me Wanna Holler),4KuBTG9nvmPhgwlRoXnJrJ,0.705,0.641,0.605,0.0888,0.0761,-9.177,0.0332,0.64,94.075,61
Cantina Band,5ZSAdkQb23NPIcUGt6exdm,0.255,0.699,0.419,0.0239,0.0471,-15.133,0.134,0.822,131.629,54
The Land of the Sand People,21n9uPZmtIKoWnuzliKwgk,0.898,0.299,0.173,0.616,0.123,-18.186,0.0522,0.0381,148.621,33
Mouse Robot and Blasting Off,2Xu7MPDIsDobH3czJMAhZM,0.747,0.156,0.156,0.463,0.172,-17.088,0.038,0.0566,74.83,32
The Return Home,2oBeDHORDq9ZeQnuygW7jZ,0.906,0.127,0.215,0.94,0.119,-19.073,0.0351,0.0541,88.382,52
The Walls Converge,2Nh7tGG4fQcEvKd824PNg7,0.859,0.197,0.108,0.749,0.131,-20.444,0.036,0.0751,96.387,32
The Princess Appears,0mcjp7typ1CcpSiycHZT2E,0.956,0.185,0.0599,0.872,0.125,-27.514,0.0428,0.0393,77.707,38
The Last Battle,7hrW22GLqFLwQOfQYLEw6q,0.000193,0.522,0.899,1.68e-06,0.25,-5.236,0.0469,0.579,135.979,54
The Throne Room and End Title,3HjDvnmiTLKaDalq4u2Hem,0.786,0.297,0.372,0.88,0.0758,-11.987,0.0331,0.191,57.633,45
Main Title and The Attack on the Jakku Village,0o9AEYW61Jb0dwmHlVhXk5,0.838,0.188,0.314,0.902,0.128,-11.955,0.0358,0.0382,84.803,40
The Scavenger,2AJHEH475SPH3XckX6KyBI,0.955,0.212,0.0238,0.965,0.106,-24.511,0.0409,0.0375,68.484,41
I Can Fly Anything,7k6yvU97GVOgUgWdSfTggp,0.822,0.372,0.328,0.904,0.0959,-11.957,0.0318,0.0811,72.802,34
Rey Meets BB-8,0Hicqz1K8PswE0Uijx5STA,0.953,0.0793,0.03,0.585,0.323,-25.662,0.0368,0.0371,172.775,35
Follow Me,4KoecuyOpZaNFZ0UqVsllc,0.439,0.817,0.585,0.0,0.147,-4.688,0.0301,0.916,105.014,71
"Rey's Theme - From ""Star Wars: The Force Awakens""",1bIFSH9m5f4JdJz8FXSIEg,0.66,0.373,0.242,0.488,0.116,-15.705,0.0368,0.25,107.729,7
The Falcon,73kJJ42uVT0eu1CseFBu7i,0.82,0.436,0.473,0.738,0.393,-11.018,0.031,0.199,78.505,34
That Girl with the Staff,3O5GA5BWJVfvIBIO0ZLlV1,0.934,0.0773,0.0288,0.946,0.417,-25.074,0.0373,0.0376,70.406,32
The Rathtars!,1RvQgGp79PAzA4qH9FoFyX,0.846,0.313,0.39,0.863,0.109,-12.706,0.0522,0.094,129.331,31
Finn's Confession,0pQaOmtNL5ChJfmpDoBqDl,0.951,0.214,0.0882,0.932,0.253,-22.076,0.0392,0.0372,86.663,34
Maz's Counsel,4bElef2DtJhpp0M9dRLDPY,0.966,0.133,0.0133,0.741,0.0792,-24.976,0.043,0.0327,74.99,32
The Starkiller,7olfP2L9CUVWXfCzwJgb4Z,0.946,0.169,0.089,0.835,0.0934,-23.308,0.0436,0.0301,88.408,36
